correct,incorrect,levenshtein_distance
rồi thì,rồií thì,1
đôi khi,đô kh,2
téc-gan,téc-gpan,1
hình nhân thế mệnh,hình nhânặthế mệnh,1
đạp sỏi giày sành,đạp sỏi giày sànho,1
thánh sư,thnh sư,1
Tiên Nha,biên Nha,1
quốc tuý,uc tuý,2
cá vụn,cá vụã,1
êm giấc,êm giấộc,1
Chư Răng,Chư Răaẫ,2
ồ,ýồ,1
dấu than,ảdấuthan,2
lưu tệ,lku tb,2
phòng giấy,phòngò giấy,1
mãn kỳ,mớãn kỳ,1
"được đồng nào, xào","được đồngào, xào",2
khôi nguyên,kấhôiự nguyên,2
tinh kỳ,tinh oỳ,1
crếp,wàcrếp,2
động đất động cát,động đất động cáởt,1
cá thần tiên,cáỉthần tiên,1
thẳng đơ,tnẳg đơ,2
nhiệm,nhim,1
giả hợp kim,gig hợpbkim,2
cần vẹt,cần vmẹtd,2
bẵng đi,pbẵng đi,1
buôn mây bán gió,buônỵmây bán gió,1
trung tuyến,trunglí tuyến,2
tuỳ nghi,tàuỳ nghi,1
"của đồng làm ra, của nhà làm nên","của đồng làm ra, của nhà làm nêộ",1
hình thù,hìnủh th,2
Tuy Hoà,TuycHoà,1
vẹm,zvẹ,2
chà,ủhà,1
Vĩnh Nguyên,Vĩnh wguyên,1
Vĩnh An,Vĩnh Ag,1
mại bản,jmại bảd,2
rúng ép,rmúngộép,2
vặt vãnh,ôặt vãnh,1
ô-xi,ôxi,1
xà bần,xà bầỹn,1
hết chợ thì quê,hết chợ ýhì quê,1
lê thê,lê tyê,1
khoai lim,khoi limẽ,2
giá bìa,ữiá bìa,1
bò mộng,ba mộn,2
chúa vắng nhà gà mọc đuôi tôm,chúa vắng nhà g mọc đồuôi tôm,2
phát ngôn viên,phát ngỵn viên,1
hải vị,hủải aị,2
hắc nô,hắc nôé,1
quan văn,quaún văln,2
An Tịnh,A Tịnh,1
sơ khoáng,sơ khoấng,1
giữ ý,giử ý,1
Văn Thành,Văn Tãhnh,2
phun mưa,phun mpưa,1
giật cơ,giậtcơ,1
ăn cuộc,ăn cc,2
rỡ ràng,rè ràng,1
khí thành,khí thàn,1
khinh người,khinù ngườại,2
nhái,nháứi,1
vô hạn độ,vôhạn độằ,2
bồ tát,bồ tầ,2
mồ hóng,mồ hóngg,1
hiệu số,hằiệu s,2
hữu thần,àu thần,2
gián phân,gián phâõn,1
nghỉm,ngihbỉm,2
ý hội, hi,2
đồng chủng,đồng chg,2
An Bình Tây,Atn Bình Tâở,2
chia buồn,ởchặia buồn,2
đại hội tập,đkại hội tập,1
hình quạt,hình quạb,1
màu đơn sắc,mu đơn sắc,1
học phí,học ểphí,1
Kháng (dân tộc),Kháng (ân tộc),1
Xuân Quỳ,Xuâỷ Qỳ,2
láng diềng,vláng ựdiềng,2
đàn nhật,đà lnhật,2
tác phúc tác uy,tác phúc tác uyẩ,1
Văn Điển,ỹăn Điểẹ,2
nữ bác sĩ,nữ báũ sĩo,2
ra tay tế độ với người trầm luân,r tay tế độ ẵvới người trầm luân,2
tư cách pháp nhân,tư cáchpháp nhân,1
kẻ,ku,1
đúc rút,đúạ rt,2
cơn sốt,cơk sốt,1
sự lý,sự vlý,1
vừa lòng,vừaợlòng,1
Bà Rịa-Vũng Tàu,Bà Rịa-Vũngà Tàu,1
thợ giặt,hợí giặt,2
Vụ Bản,ơụ Bản,1
tố khổ,ừốá khổ,2
ăn đứt,ăn ètđứt,2
thông đường,thông đườg,1
cách trở núi sông,cách trở núi ông,1
xoáy thuận,xoáy thưuĩn,2
độc nhãn,ầc nhãn,2
hè thu,hè thbuo,2
tuyệt mệnh,tuyễt mệnẫ,2
đuôi rắn,đuôirắxn,2
bãi triều cạn,búãi trều cạn,2
dàn tập,dàln tập,1
quần lá toạ,quần lá qtoọạ,2
điêu trác,điêớ trác,1
lỗ rò,lạ ò,2
đau điếng,đaulđiếng,1
bản vị,bởn vỡị,2
Bà Triệu,Bà Trệu,1
nể lời,nểỉlời,1
chưa chút,chóưa ờhút,2
micrô,micrôc,1
dại trai,dại rai,1
hộn đường,h đường,2
hương nhụy,hươngw nhụẹ,2
lủi như cuốc,li như cuốc,1
cùng kì,cùổng gì,2
lá cờ,l cờ,1
phát nhiệt,pht nhệt,2
tự tiêu,tựmiêu,2
múi,múi,0
trật trệu,trư trệu,2
lắm thầy rầy ma,lắm thầgay rầy ma,2
cương,cươngă,1
ròng rọc,ròng rọ,1
may đo,y đo,2
hùng hục,hwcng hục,2
thư sinh,hư sinh,1
Quỳnh Hoà,QuỳnhũHoôà,2
Thới Thuận,Thới phận,2
cao sĩ,ậcao ĩ,2
dây cát,dâý cá,2
Thuận Hoá,huận Hoá,1
loe loét,loe oét,1
uy nghiêm,uy nghiê,1
rầy rà,rầy rõ,1
nghệt,nĩghệảt,2
trễ biếng,trễbiếng,1
túm,úỗm,2
gieo mạ còn phải kén giống,gieo mạ céòn phải kén giốnỉ,2
bùng bùng,ùn bùng,2
bềnh bệch,bềnhbệch,1
toả nhiệt,toả nhist,1
nội hôn,nội hô,1
bởi tại,bói tại,1
khêu gan,kêu gan,1
gà tần,ưgà tầan,2
đồng loã,đồng loứ,1
ăn dối,ăn bdối,1
hiệp trấn,hẻệp ợrấn,2
in thạch bản,in hạch bản,1
heuristic,heuriotic,1
phá lên cười,phá l ên cưi,2
Uy Nỗ,y N,2
đại bại,đạiởại,2
trách nào,trách nàồ,1
lằn,lằu,1
cần tây,lần tcy,2
quê một cục,quê một cc,1
bần cùng,bầneẻcùng,2
hoảng,hoảđng,1
hắc lào,hầắẹ lào,2
ngôn ngổn,ngôn négổn,1
mất nết,mất nế,1
phạt giam,pht ggiam,2
tươm tươm,tươ tươum,2
đến mực,đèn mực,1
núc ních,úcỳních,2
ê-săng-chi-ông,ê-săngchi-sng,2
ăn quà như mỏ khoét,ãn quà như mỏ khoét,1
Nùng Nàng,Nùng Nàg,1
tề,ỏề,1
nhạc lễ,hạc lễ,1
đoạt nhân thủ tử,đoạt ổhân thủ tử,1
riêng biệt,riên biệ,2
tờ trình,tờtrìnhỉ,2
mô hình,m yình,2
nội hoạ,nẻihoạ,2
buốt gan tím ruột,buốtyga tím ruột,2
để quốc chủ nghĩa,đểquốc chủ nghĩa,1
lạm tiêu,lạm tiu,1
lỗ tai,lỗ ai,1
có cũng như không,có cũng nhá khựng,2
thể nhiễm sắc,tthể nhiễm sắc,1
nhật kì,nhật k,1
bần thần,bần thn,1
san hô,vsanhô,2
êm đềm,êmệđềm,1
tứ phẩm,tứ pấẩm,1
phân tro,phânệtro,1
tính trạng,nính tơạng,2
mừng hụt,mừng hụ,1
có ngọn có ngành,có ngọn có nàn,2
giam giữ,gium ọiữ,2
Tân An Hội,Tn An Hộẹi,2
khảnh,kản,2
bất tiện,bất tạện,1
nuốt giận,nuạốt gimn,2
cống hiến,cốgì hiến,2
sóc,óc,1
giở trời,giởutrời,1
xây thành đắp lũy,xây thnh ềắp lũy,2
băngca,băngộa,1
chữ tòng,chữ òòg,2
pound,àund,2
xua như xua tà,xãu như xua tà,2
cống sinh,cốngìsinh,1
nhầm nhật,nhm nhật,1
gốc từ,gốcốtã,2
quốc hữu hóa,quac hữu hóa,1
độ thế,độ thẫ,1
Quế Phong,ọQuế Phonp,2
vi chấn,vi chcặ,2
ăn chờ nằm chực,ăn chờ ẳnằm chực,1
goá bụa,goá bụẽa,1
câu thúc thân thể,câu túc thân thì,2
chín mõm,cỗứín mõm,2
bán nguyệt san,bánnguyệt saện,2
cha chú,cha hú,1
điện cực,ấin cực,2
ăn bớt,ănởẵ bớt,2
rờ mó,rởờ mớó,2
cứt,c zt,2
hoang phế,hoangẫ phế,1
mất gốc,mnất gốc,1
run run,ruần run,1
phủ,ứhủ,1
vì kèo,vì kè,1
dán mắt,dán mắtỹ,1
bàn thờ,bànừẩ thờ,2
dầu chăng,dầu chănw,1
nỗi này,ỗi náy,2
sàng,èàng,1
thẳng tuột,thẳngtuột,1
USD,êUD,2
nhập cư,nhậppcư,1
ngũ trưởng,ngũ tìưởdg,2
bể,b,1
tiên đề hoá,tiêậỳ đề hoá,2
thon lỏn,ton lỏn,1
ví phỏng,ví phọng,1
tuyệt cú,tuyệt èú,1
tư nghiệp,tư nhiệpv,2
khụ,ksụ,1
kệ thây,kệ thâốy,1
vàng óng,veàng óng,1
đ/c,è/l,2
quầy quậy,qầy quậy,1
công lý,ông lý,1
Tịnh ấn Tây,Tẩịnh ấnTây,2
tuôn,tuôỡ,1
như nhau,như nau,1
Triệu Thành,Tệu Thành,2
rù rù,ỹù rù,1
xàm bậy,xàm bậự,1
lập thể,lập thã,1
thuẫn,zhuẫn,1
bầu già thì mướp cũng xơ,bầu già thì mướp cũng x,1
cảm hoán ngữ,ỵcảm hoán ngữ,1
có đẻ mới có thương,có đw mới có thương,1
một chân một tay,một chân mt tíy,2
kẻ có tiền chẳng mạnh thì bạo,kẻ có tiền chẳng mạnh thì bạo,0
hoàn vũ,hoấànvũ,2
máy bay phản lực,máy bỏyphản lực,2
đội bóng,độữ bóng,1
quân tứ xương,quân tứ uxương,1
chữ như gà bới,chữ hư õà bới,2
li-xăng,lp-xăng,1
phụ quyền,phụèquyền,1
bạc đen,bễc đen,1
ngoi ngóp,ngoi ngãóp,1
"một đời cha, ba đời con","một đời cha, b đời con",1
hứa quốc,hứa uốc,1
hoan tống,han tốg,2
sị,ẫỳ,2
chở củi về rừng,hở củi về rừng,1
ù ì,ề ì,1
Chí Đám,ởhí Đáq,2
ngày một,nxày mộ,2
ai tử,itử,2
anmanac,anfmanac,1
dân bẹp,dâỉ bẹp,1
radar,adar,1
khoán lệ,ỳhoán lệ,1
phát sáng,pợhát sáng,1
đứ,đ,1
ruột bỏ ngoài da,rudột bỏ ngoài da,1
Chánh Mỹ,Cháh Mỹ,1
ân gia,ân gùia,1
trọng lượng riêng,ẩtọng lượng riêng,2
phúng điếu,phúng ứiàu,2
nặng gánh tương tư,nặng ởán tương tư,2
An Phú Thuận,An PhúóThuậ,2
tính chất,ợínhchất,2
xàm,àm,1
tích kê,tếíchlkê,2
đồng bằng,đng bằg,2
lẹt bẹt,ldwẹt bẹt,2
tự ải,tự i,1
kín cổng cao tường,kín cổng cvao tường,1
cực mạnh,ìc mạnh,2
âởu Triệu,âởu riệu,1
bình bát,bìn bát,1
quê nhà,qwê nhà,1
chữa thuổc,chữaằtuổc,2
đen lánh,đenãánh,2
Bình Chân,Bình Châ,1
khá,kh,1
bơi ếch,bơi ch,1
cù ngoéo,cùữ ngoé,2
đầy đọa,đầzy đọa,1
phịt,phst,1
chi nữa,cji nữa,1
nông choẹt,nờng choẹt,1
sốt xuất huyết,số xuất huyếìt,2
nắng ráo,íắnẹ ráo,2
tâm tư,tâmqư,2
rát mặt,ráìtmặt,2
kính báo,kínằứh báo,2
ựa,,2
giẫm chân lên nhau,giẫm chânh lên nhau,1
túc túc,túcútúc,1
ẩm nhiệt,ẩm nohiệt,1
hôn,kôn,1
ỏm,vm,1
ghét ngon ghét ngọt,ghét ngon ghétỉ ngọt,1
gương sáng,ogương áng,2
chuột đồng nai,chuộtđồng nai,1
chao đèn,hchao èn,2
khởi phát,khởi ễhát,1
hờ,hờờ,1
cười hềnh hệch,cười uềnh hệch,1
rít,rýt,1
đọ gươm,đủọ ấgươm,2
vân sam,vânồ sam,1
bết,fế,2
bè đảng,bè png,2
mắc lận,mắcỳ ận,2
lơi,lẹ,2
lớn nhanh như thổi,lớn nhanh như tứhổi,1
bánh bột lọc,bánh bỷột lọc,1
bèo dâu,bỉèoôdâu,2
lông mình,lôn ấình,2
thuốc trừ sâu,tuố trừ sâu,2
pháp môn,pháp môặnẫ,2
thủy ngân,hủy ngân,1
giả đồng hình,giả đíồng hình,1
cỏ sâu róm,cỏ sâu róỵm,1
hàm lượng,hàm lưng,1
làm thinh,làm thiờh,1
niềm tin,iềm tin,1
baren,bre,2
Yên Thịnh,Yê Tịnh,2
thuận tiện,thuậ tiện,1
suông nhạt,suâông nhạt,1
kết tinh học,kếít tinh hc,2
đề-pa,đềệa,2
Luy Lâu,ùLu Lâu,2
vừa khéo,va khéo,1
phản xạ,phảnỗ xạ,1
đánh lận,đánh lón,1
xã hội hóa,xã hộki hóúa,2
"ăn chưa no, lo chưa tới","ăn chưa no, loichưa tới",1
bỏ học,ơỏ họ,2
danh ca,danh cta,1
chàu bạu,wchẽu bạu,2
cổ tâm lí học,cổ tâm lí họ,1
nhờ nhờ,nhờ hờ,1
ngũ luân,bngrũ luân,2
quà,qvuà,1
thanh quản,thaẩh quảăn,2
đại chúng,đạĩ chúng,1
ăn yến,ăn yế,1
sào ngắm,ỗào ngắm,1
có ít xuýt ra nhiều,có ít uýt ra nhiều,1
tầm súng,ầm súng,1
quân luật,quân uận,2
tiến động,tiến pộnắg,2
cổ đứng,cỡổ đỗứng,2
ngủ gục,ngủ gụ,1
khơi nguồn,ĩkhơi nguồn,1
ụp,ò,2
công binh,cxựg binh,2
cò cò,ò cò,1
bóng chuyền,bóờng chuyền,1
cặp lồng,cặễp lồg,2
tam cá nguyệt,tm cá nguyệt,1
cái tôm đút mồm con bống,cái tômễđúst mồm con bống,2
ngồi không,ngụi không,1
xôn xang,xônang,2
hai sôi ba lạnh,hai sôiớba lạnh,1
dây đeo,dây đe,1
ba-lô,bm-ẻlô,2
quí,ờuí,1
tồ tồ,tồ ìtồ,1
đầu vào,ầu vào,1
con chạch,conớ ứhạch,2
giời,girời,1
vẹn toàn,vẹnẹ ton,2
khách sáo,khácỡ sáo,1
công khai,cng khai,1
máy in,áy đin,2
óc đậu,óó đậu,1
biên tập,bin tập,1
âu hẳn,âu dâhẳn,2
phiếm tại,áphiếm tại,1
phét lác,phúèt lác,2
nhu mì,nhumìằ,2
địa y,địaềy,1
dũa,daử,2
bông băng,bông băs,2
đừ,ếừ,1
nguyên cảo,nguôyn cảo,2
giâm,giâờm,1
chăng nữa,chăngỷ nữa,1
Mọi Luỹ,Mọ Luỹ,1
cuộc thi,cuộcẳthi,1
can tội,ca tộùi,2
sắt động,sắ ựộng,2
bối rối như bà sư đẻ,bối rối như cà s đẻ,2
thuốc pháo,huốc pháoở,2
hiền huynh,hiền huyũh,1
lục bộ,lụcbbộ,1
mắt tròn mắt dẹt,mắt tròn mẵt dẹt,1
chưa qua cầu đã cất nhịp,chưa quừ cầu đã ct nhịp,2
Bảo Hoà,BảoắHovà,2
cơm cha áo mẹ công thầy,cơm cha áo mẹ cfông thy,2
ma-măng,m-măng,1
cây trồng,cây tràng,1
vạt,vkt,1
đòn ghen,đòn gàeắn,2
người mẫu,nggười mu,2
có chân,có châ,1
bọ nẹt,bạọ nẹù,2
cưa,ưfa,2
lũ,lũ,0
Việt Hồng,Việt Hng,1
sư phó,sư ụphó,1
nghĩa đệ,nghy đệ,2
nhang nhác,nhang nháẫ,1
đắc lợi,đc lợi,1
rải rác,rải ềrc,2
anh,ặanùh,2
đại nghị,đại ghị,1
khóa nòng,ihóa nòng,1
Vạn Long,Vạn Lềng,1
bún riêu cua,bún riêu cuha,1
phụ hoạ,ờhụỷhoạ,2
bỏ bà,bỏbà,1
Văn Đẩu,n Đẩu,2
xao lãng,xaểlãng,2
bao cao su,ba cao s,2
nuôi cáo trong nhà,nuôi áo trong nhà,1
ni-tơ-rát,ni-ớtơ-rát,1
trần như nhộng,trần ửhư nhộng,1
khóc than,kóc than,1
oách,oửácỏ,2
khèo,khèàon,2
tiết diện,tiết diệen,1
miêu tả,miêl t,2
ăn bữa sáng lần bữa tối,ăẻn bữũa sáng lần bữa tối,2
sai nha,sai nớ,2
vỏ bào,vỏ bdào,1
nắng hanh,nắng ấhanh,1
hơng,íơng,1
có vú,ó vú,1
xể,x,1
quyền biến,quyền ìbiến,1
đơn hàng,đơnjhàng,1
phối nhạc,pốé nhạc,2
nam hoàng liên,nam hoàng liênộ,1
của nả,của ẵả,1
công thẩm,côngễhẩm,2
giá đồng,giá ếđồng,1
mẫu âm,mẫu â,1
dây chìa vôi,dâyìchìa vôi,1
đường đi,đườn đi,1
cố cựu chi giao,cốcựu chi giao,1
ấu nhi,ấu ơằhi,2
âu yếm,âuqyếm,1
đấu chọi,ởđấu chọi,1
lũng đoạn,ũng oạn,2
chủ nghĩa duy ý chí,ch nghĩa duy ý chí,1
cao nghều,cao nhùều,2
non yểu,nox yểỹ,2
tiến độ,tiến n,2
đăng cao viễn vọng,đăng cao viễn vọnẻ,1
dai như chão,dai nhưhão,2
nhảm,nhảòy,2
cầm quân khiển tướng,cum quân khiển tìớng,2
Tân Lân,ỡTânv Lân,2
"nay ăn tấm, mai ăn gạo","nay ăn tấm, mai ẽn gạo",1
hoa chuối,hoaschuốủi,2
tiểu đậu,tiểu ềđậuđ,2
hội chứng cúm,hội êchứng cúé,2
đoan thệ,đoanộtệ,2
xatanh,xatnw,2
dĩ độc chế độc,dpĩ độc chế ộc,2
chụt chà chụt chịt,chụt chà dhụt chịt,1
sốt rét,sớ rét,2
giao thừa,gao thũừa,2
bức điện,bc đin,2
kế thất,kế thấồt,1
phụ lão,pkhụ ão,2
thâm thù,thâmm thứ,2
côn trùng,côn tíùng,1
chửa trâu,chểa trâu,1
loi ngoi,loi g i,2
chịu chày chịu cối,chịu chẹà chịu cối,2
song thần,soéâ thần,2
tỷ lệ,tỷữ lkệ,2
thiên khải,thiên khíải,1
giảm phát,giủm pát,2
cho đặng,cho đặn ụ,2
pô-xi-ông,pôxi-ông,1
mắt trắng dã,mắt orắng ã,2
Tam Ngọc,Tam Nọọỗc,2
cầu khiến,cu khipến,2
kính thưa,kíh thưa,1
cấu tượng,cấu uượng,1
giại,giạkỡi,2
lọc lừa,lọc la,1
P,Pù,1
áo sơ mi,áo ửẩsơ mi,2
xoan đâu,xoủan đâu,1
quấn mành,quấn đmành,1
bẻ ghi,ẵbẻữghi,2
vừa,ùừa,1
nút,út,1
real,ừral,2
rông rổng,rôn rổng,1
cửu lí hương,scửu lí hưng,2
sớm hôm,sm ờhôm,2
lép nhép,lép nhé,1
chếp,chếố,1
toan tính,toan tõn,2
mùa nước nổi,mắùa nước nổi,1
bật đèn,bậtẻđèơn,2
con có cha như nhà có nóc,cọon có cha như nhà ưcó nóc,2
chồn bông lau,chồn bông lar,1
Tản Viên,Tản Viêâ,1
Quân Cờ Trắng,Quưân Cờ Trng,2
bận rộn,béận rộn,1
cò mồi mổ cò thật,cò mồs ịmổ cò thật,2
Bắc Kạn,Bắc Kíạn,1
chan chán,chamn cán,2
xếp dỡ,ếpdỡ,2
lọc ọc,ọc ọễ,2
nhìn gà hoá cuốc,nhìngà hoá cuệốc,2
dẫn đường,dẫn đờng,1
nghinh,nginh,1
dân cùng tài tận,dân cùờg tài tận,1
nghèo rớt mồng tơi,nỗốghèo rớt mồng tơi,2
cha kiếp,chakisếp,2
trầm tính,tỗầm tính,1
từ đồng nghĩa,từ đồnỗ nghĩa,1
phạt mộc,thạtmộc,2
thầu lại,thọulại,2
bào tộc,bơo tộcỳ,2
lỡ thời,lỡ thi,1
khấu,khấx,1
gõ kiến,gq ứkiến,2
